거래일,거래시간,지역,연료원,전력거래량(MWh)
2025-01-01,1,강원도,태양광,0.872331
2025-01-01,2,강원도,태양광,0.11766
2025-01-01,3,강원도,태양광,0.14726
2025-01-01,4,강원도,태양광,0.14654
2025-01-01,5,강원도,태양광,0.1462
2025-01-01,6,강원도,태양광,0.00484
2025-01-01,7,강원도,태양광,0
2025-01-01,8,강원도,태양광,0.120027
2025-01-01,9,강원도,태양광,16.923829
2025-01-01,10,강원도,태양광,79.969724
2025-01-01,11,강원도,태양광,148.739127
2025-01-01,12,강원도,태양광,211.534739
2025-01-01,13,강원도,태양광,257.735702
2025-01-01,14,강원도,태양광,252.569083
2025-01-01,15,강원도,태양광,214.075353
2025-01-01,16,강원도,태양광,142.556093
2025-01-01,17,강원도,태양광,71.992095
2025-01-01,18,강원도,태양광,40.921677
2025-01-01,19,강원도,태양광,47.350913
2025-01-01,20,강원도,태양광,44.788119
2025-01-01,21,강원도,태양광,24.32777
2025-01-01,22,강원도,태양광,11.236491
2025-01-01,23,강원도,태양광,6.257862
2025-01-01,24,강원도,태양광,1.797821
2025-01-01,1,경기도,태양광,0.01664
2025-01-01,2,경기도,태양광,0
2025-01-01,3,경기도,태양광,0
2025-01-01,4,경기도,태양광,0
2025-01-01,5,경기도,태양광,0
2025-01-01,6,경기도,태양광,0
2025-01-01,7,경기도,태양광,0
2025-01-01,8,경기도,태양광,0.060607
2025-01-01,9,경기도,태양광,14.062097
2025-01-01,10,경기도,태양광,63.445065
2025-01-01,11,경기도,태양광,122.432317
2025-01-01,12,경기도,태양광,169.094426
2025-01-01,13,경기도,태양광,188.403877
2025-01-01,14,경기도,태양광,186.776646
2025-01-01,15,경기도,태양광,156.709203
2025-01-01,16,경기도,태양광,101.642246
2025-01-01,17,경기도,태양광,42.06535
2025-01-01,18,경기도,태양광,17.553421
2025-01-01,19,경기도,태양광,18.243339
2025-01-01,20,경기도,태양광,12.765803
2025-01-01,21,경기도,태양광,7.025104
2025-01-01,22,경기도,태양광,2.314548
2025-01-01,23,경기도,태양광,0.576536
2025-01-01,24,경기도,태양광,0.166904
2025-01-01,1,경상남도,태양광,0.134856
2025-01-01,2,경상남도,태양광,0.0068
2025-01-01,3,경상남도,태양광,0
2025-01-01,4,경상남도,태양광,0
2025-01-01,5,경상남도,태양광,0
2025-01-01,6,경상남도,태양광,0
2025-01-01,7,경상남도,태양광,0
2025-01-01,8,경상남도,태양광,1.064109
2025-01-01,9,경상남도,태양광,42.198598
2025-01-01,10,경상남도,태양광,151.855903
2025-01-01,11,경상남도,태양광,247.716328
2025-01-01,12,경상남도,태양광,305.782615
2025-01-01,13,경상남도,태양광,328.21343
2025-01-01,14,경상남도,태양광,325.018903
2025-01-01,15,경상남도,태양광,273.138522
2025-01-01,16,경상남도,태양광,175.403598
2025-01-01,17,경상남도,태양광,68.800785
2025-01-01,18,경상남도,태양광,25.737868
2025-01-01,19,경상남도,태양광,29.241046
2025-01-01,20,경상남도,태양광,25.503704
2025-01-01,21,경상남도,태양광,17.773805
2025-01-01,22,경상남도,태양광,10.215971
2025-01-01,23,경상남도,태양광,3.16508
2025-01-01,24,경상남도,태양광,0.94194
2025-01-01,1,경상북도,태양광,0.08844
2025-01-01,2,경상북도,태양광,0.25732
2025-01-01,3,경상북도,태양광,0.2964
2025-01-01,4,경상북도,태양광,0.2964
2025-01-01,5,경상북도,태양광,0.2384
2025-01-01,6,경상북도,태양광,0.0316
2025-01-01,7,경상북도,태양광,0
2025-01-01,8,경상북도,태양광,1.335132
2025-01-01,9,경상북도,태양광,51.664016
2025-01-01,10,경상북도,태양광,186.622487
2025-01-01,11,경상북도,태양광,309.789591
2025-01-01,12,경상북도,태양광,382.928011
2025-01-01,13,경상북도,태양광,415.884658
2025-01-01,14,경상북도,태양광,409.494744
2025-01-01,15,경상북도,태양광,351.882128
2025-01-01,16,경상북도,태양광,228.421691
2025-01-01,17,경상북도,태양광,92.126518
2025-01-01,18,경상북도,태양광,38.263049
2025-01-01,19,경상북도,태양광,62.425935
2025-01-01,20,경상북도,태양광,60.607613
2025-01-01,21,경상북도,태양광,43.855611
2025-01-01,22,경상북도,태양광,25.555846
2025-01-01,23,경상북도,태양광,7.69394
2025-01-01,24,경상북도,태양광,1.171953
2025-01-01,1,광주시,태양광,0.0014
2025-01-01,2,광주시,태양광,0.0014
2025-01-01,3,광주시,태양광,0.0014
2025-01-01,4,광주시,태양광,0
2025-01-01,5,광주시,태양광,0
2025-01-01,6,광주시,태양광,0
2025-01-01,7,광주시,태양광,0.00216
2025-01-01,8,광주시,태양광,0.039831
2025-01-01,9,광주시,태양광,3.924402
2025-01-01,10,광주시,태양광,15.825266
2025-01-01,11,광주시,태양광,28.73226
2025-01-01,12,광주시,태양광,37.48894
2025-01-01,13,광주시,태양광,40.544856
2025-01-01,14,광주시,태양광,38.77649
2025-01-01,15,광주시,태양광,31.847335
2025-01-01,16,광주시,태양광,20.436209
2025-01-01,17,광주시,태양광,9.133354
2025-01-01,18,광주시,태양광,2.399484
2025-01-01,19,광주시,태양광,2.258464
2025-01-01,20,광주시,태양광,1.7355
2025-01-01,21,광주시,태양광,0.8395
2025-01-01,22,광주시,태양광,0.54636
2025-01-01,23,광주시,태양광,0.32908
2025-01-01,24,광주시,태양광,0.04656
2025-01-01,1,대구시,태양광,0
2025-01-01,2,대구시,태양광,0
